#
# This file lists all of the actors known to the Kepler system. For
# each actor it documents the person who reviewed the documentation for
# the actor for the given release and the name of the test workflows that
# should be run by the nightly build using a path relative to the Kepler root
# directory.  For actors that can not be tested instead one should write NA
# in the workflow test column.
# '$Id: actor-list.csv 24234 2010-05-06 05:21:26Z welker $'
#
#Actor,DocReview,Release,Comments,TestWorkflow1,TestWorkflow2,...
OpenBabel,incomplete,beta2,none,none
OpendapDataSource,incomplete,rc1,none,workflows/test/opendapActorUnitTest_1.xml
OpenDatabaseConnection,incomplete,beta2,none,none
OrbImageSource,incomplete,beta2,none,none
OrbPacketObjectSource,incomplete,beta2,none,none
OrbWaveformSink,incomplete,beta2,none,none
OrbWaveformSource,incomplete,beta2,none,none
Parameter,incomplete,beta2,none,none
ParameterizedGlobusJob,incomplete,beta2,none,none
PAUPConsensusTrees,incomplete,beta2,none,none
PAUPInfer,incomplete,beta2,none,none
Pause,incomplete,beta2,none,none
PermanentStringConstant,incomplete,beta2,none,none
PhyloDataReader,incomplete,beta2,Requires CIPRes install for CORBA support,NA
PointInPolygon,incomplete,beta2,none,none
PointInPolygonXY,incomplete,beta2,none,none
PolarToCartesian,incomplete,beta2,none,none
PolarToComplex,incomplete,beta2,none,none
Polygon,incomplete,beta2,none,none
PolygonDiagramsDataset,incomplete,beta2,none,none
PolygonDiagramsTransition,incomplete,beta2,none,none
PortLineReader,incomplete,beta2,none,none
PortParameter,incomplete,beta2,none,none
QMViewDisplay,incomplete,beta2,none,none
Quantizer,incomplete,beta2,none,none
Ramp,incomplete,beta2,none,none
RandomNormal,incomplete,beta2,none,none
RandomParameter,incomplete,beta2,none,none
RandomUniform,incomplete,beta2,none,none
RangePointsParameter,incomplete,beta2,none,none
RangeStepParameter,incomplete,beta2,none,none
README,incomplete,beta2,none,none
RecIDCM3,incomplete,beta2,Requires CIPRes install for CORBA support,NA
RecordAssembler,incomplete,beta2,none,none
RecordDisassembler,incomplete,beta2,none,none
Recorder,incomplete,beta2,none,none
RecordUpdater,incomplete,beta2,none,none
Rectangle,incomplete,beta2,none,none
Regression,incomplete,beta2,none,none
Remainder,incomplete,beta2,none,none
Repeat,incomplete,beta2,none,none
RequireVersion,incomplete,beta2,none,none
Rescaler,incomplete,beta2,none,none
RExpression,incomplete,beta2,none,none
RicianDistributionRandomNumberGenerator,incomplete,beta2,none,none
RMean,incomplete,beta2,none,none
RMedian,incomplete,beta2,none,none
Round,incomplete,beta2,none,none
RQuantile,incomplete,beta2,none,none
RunCompositeActor,incomplete,beta2,none,none
RunJobGridClient,incomplete,beta2,none,none
SampleDelay,incomplete,beta2,none,none
Scale,incomplete,beta2,none,none
Scatterplot,incomplete,beta2,none,none
ScopeExtendingAttribute,incomplete,beta2,none,none
Select,incomplete,beta2,none,none
SequencePlotter,incomplete,beta2,none,none
SequenceScope,incomplete,beta2,none,none
SequenceToArray,incomplete,beta2,none,none
ServerExecute,incomplete,beta2,none,none
ShowLocations,incomplete,beta2,Can not test graphical actor,NA
SI,incomplete,beta2,none,none
SimpleFileReader,incomplete,beta2,none,none
Sinewave,incomplete,beta2,none,none
SingleFireConstant,incomplete,beta2,none,none
SingleParameter,incomplete,beta2,none,none
Sleep,incomplete,beta2,none,none
SoaplabAnalysis,incomplete,beta2,none,none
SoaplabChooseOperation,incomplete,beta2,none,none
SoaplabChooseResultType,incomplete,beta2,none,none
SoaplabServiceStarter,incomplete,beta2,none,none
SProxy,incomplete,beta2,none,none
SRBAddMetadata,incomplete,beta2,none,none
SRBConnect,incomplete,beta2,none,none
SRBCreateQueryConditions,incomplete,beta2,none,none
SRBCreateQueryInterface,incomplete,beta2,none,none
SRBGetMetadata,incomplete,beta2,none,none
SRBGetPhysicalLocation,incomplete,beta2,none,none
SRBProxyCommands,incomplete,beta2,none,none
SRBQueryMetadata,incomplete,beta2,none,none
SRBSGet,incomplete,beta2,none,none
SRBSPut,incomplete,beta2,none,none
SRBStreamGet,incomplete,beta2,none,none
SRBStreamPut,incomplete,beta2,none,none
SshDirectoryList,incomplete,beta2,none,none
SshFileCopier,incomplete,beta2,none,none
SshSession,incomplete,beta2,none,none
SSHtoExecute,incomplete,beta2,none,none
StartGAMESSInput,incomplete,beta2,none,none
StartPlanFile,incomplete,beta2,none,none
StatusChecker,incomplete,beta2,none,none
Stop,incomplete,beta2,none,none
StringAccumulator,incomplete,beta2,none,none
StringCompare,incomplete,beta2,none,none
StringConstant,incomplete,beta2,none,none
StringFunction,incomplete,beta2,none,none
StringIndexOf,incomplete,beta2,none,none
StringLength,incomplete,beta2,none,none
StringMatches,incomplete,beta2,none,none
StringParameter,incomplete,beta2,none,none
StringReplace,incomplete,beta2,none,none
StringSplitter,incomplete,beta2,none,none
StringSubstring,incomplete,beta2,none,none
StringToImageConverter,incomplete,beta2,none,none
StringToInt,incomplete,beta2,none,none
StringToPolygonConverter,incomplete,beta2,none,none
StringToXML,incomplete,beta2,none,none
SubsetChooserActor,incomplete,beta2,none,none
Substitute,incomplete,beta2,none,none
Summary,incomplete,beta2,none,none
SummaryStatistics,incomplete,beta2,none,none
SVGConcatenate,incomplete,beta2,none,none
SVGToPolygonConverter,incomplete,beta2,none,none
Switch,incomplete,beta2,none,none
TempActor,incomplete,beta2,none,none
TemporaryScriptCreator,incomplete,beta2,none,none
Test,incomplete,beta2,none,none
TextFileWriter,incomplete,beta2,none,none
ThrowException,incomplete,beta2,none,none
ThrowModelError,incomplete,beta2,none,none
TimedPlotter,incomplete,beta2,none,none
TimedScope,incomplete,beta2,none,none
TimeStamp,incomplete,beta2,none,none
TokenCounter,incomplete,beta2,none,none
TokenDuplicator,incomplete,beta2,none,none
TokenToExpression,incomplete,beta2,none,none
TokentoSeparateChannelsTransmitter,incomplete,beta2,none,none
TokenToStringConverter,incomplete,beta2,none,none
TransitiveClosureDatabaseQuery,incomplete,beta2,none,none
